,precision,recall,f1-score,support,roc_auc
0,0.9997829036635006,0.9754991085770772,0.9874917356110288,56651.0,0.9656583383579423
1,0.05642420122365738,0.8736842105263158,0.10600255427841634,95.0,0.9656583383579423
accuracy,0.9753286575265216,0.9753286575265216,0.9753286575265216,0.9753286575265216,0.9656583383579423
macro avg,0.528103552443579,0.9245916595516965,0.5467471449447225,56746.0,0.9656583383579423
weighted avg,0.9982036015676387,0.9753286575265216,0.9860160109392176,56746.0,0.9656583383579423
