Model,AUC,Precision,Recall,F1-Score
Logistic Regression,0.9656583383579423,0.9982036015676387,0.9753286575265216,0.9860160109392176
Random Forest,0.9446904360865094,0.999476573222585,0.9994889507630493,0.9994502912806399
