,precision,recall,f1-score,support,roc_auc
0,0.9995236078763498,0.999964696121869,0.9997441033469517,56651.0,0.9446904360865094
1,0.9714285714285714,0.7157894736842105,0.8242424242424242,95.0,0.9446904360865094
accuracy,0.9994889507630493,0.9994889507630493,0.9994889507630493,0.9994889507630493,0.9446904360865094
macro avg,0.9854760896524606,0.8578770849030397,0.9119932637946879,56746.0,0.9446904360865094
weighted avg,0.999476573222585,0.9994889507630493,0.9994502912806399,56746.0,0.9446904360865094
