model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.9749018419179067,0.057625765238221986,0.9154334038054969,0.10842619256291473,0.9859739388812706
Random Forest,0.9997004151893023,0.8943089430894309,0.9302325581395349,0.9119170984455959,0.9934721660804079
